Entry_date,Entry_price,Exit_price,Exit_date,Type
,,,,
2011-01-03 09:15:00,11892.5,11829.5,2011-01-03 13:15:00,Short
2011-01-03 13:15:00,11829.5,11640.1,2011-01-04 09:15:00,Short
2011-01-04 09:15:00,11640.1,11559.6,2011-01-04 13:15:00,Short
2011-01-04 13:15:00,11559.6,11354.75,2011-01-05 09:15:00,Short
2011-01-05 09:15:00,11354.75,11306.05,2011-01-05 13:15:00,Short
2011-01-05 13:15:00,11306.05,11226.65,2011-01-06 09:15:00,Short
2011-01-06 09:15:00,11226.65,11168.75,2011-01-06 13:15:00,Short
2011-01-06 13:15:00,11168.75,11196.6,2011-01-07 09:15:00,Short
2011-01-07 09:15:00,11196.6,11017.45,2011-01-07 13:15:00,Short
2011-01-10 09:15:00,10872.9,10686.0,2011-01-10 13:15:00,Buy
2011-01-10 13:15:00,10686.0,10906.35,2011-01-11 09:15:00,Buy
2011-01-11 09:15:00,10906.35,10914.0,2011-01-11 13:15:00,Buy
2011-01-11 13:15:00,10914.0,10890.0,2011-01-12 09:15:00,Buy
2011-01-12 09:15:00,10890.0,11129.25,2011-01-12 13:15:00,Buy
2011-01-12 13:15:00,11129.25,10809.4,2011-01-13 09:15:00,Buy
2011-01-13 09:15:00,10809.4,10740.65,2011-01-13 13:15:00,Buy
2011-01-13 13:15:00,10740.65,10891.05,2011-01-14 09:15:00,Buy
2011-01-14 09:15:00,10891.05,10443.75,2011-01-14 13:15:00,Buy
2011-01-14 13:15:00,10443.75,10546.7,2011-01-17 09:15:00,Buy
2011-01-17 09:15:00,10546.7,10489.75,2011-01-17 13:15:00,Buy
2011-01-17 13:15:00,10489.75,10571.55,2011-01-18 09:15:00,Buy
2011-01-18 09:15:00,10571.55,10633.1,2011-01-18 13:15:00,Buy
2011-01-18 13:15:00,10633.1,10686.45,2011-01-19 09:15:00,Buy
2011-01-19 09:15:00,10686.45,10634.45,2011-01-19 13:15:00,Buy
2011-01-19 13:15:00,10634.45,10521.3,2011-01-20 09:15:00,Buy
2011-01-20 09:15:00,10521.3,10795.1,2011-01-20 13:15:00,Buy
2011-01-20 13:15:00,10795.1,10893.9,2011-01-21 09:15:00,Buy
2011-01-21 09:15:00,10893.9,10890.75,2011-01-21 13:15:00,Buy
2011-01-21 13:15:00,10890.75,11120.55,2011-01-24 09:15:00,Buy
2011-01-24 09:15:00,11120.55,11138.55,2011-01-24 13:15:00,Buy
2011-01-24 13:15:00,11138.55,11077.15,2011-01-25 09:15:00,Buy
2011-01-25 09:15:00,11077.15,10879.05,2011-01-25 13:15:00,Buy
2011-01-25 13:15:00,10879.05,10869.25,2011-01-27 09:15:00,Buy
2011-01-27 09:15:00,10869.25,10681.75,2011-01-27 13:15:00,Buy
2011-01-27 13:15:00,10681.75,10489.25,2011-01-28 09:15:00,Buy
2011-01-27 13:15:00,10681.75,10489.25,2011-01-28 09:15:00,Short
2011-01-28 09:15:00,10489.25,10607.8,2011-01-28 13:15:00,Short
2011-01-28 13:15:00,10607.8,10609.85,2011-01-31 09:15:00,Short
2011-01-31 09:15:00,10609.85,10632.75,2011-01-31 13:15:00,Short
2011-01-31 13:15:00,10632.75,10573.2,2011-02-01 09:15:00,Short
2011-02-01 09:15:00,10573.2,10466.4,2011-02-01 13:15:00,Short
2011-02-01 13:15:00,10466.4,10523.15,2011-02-02 09:15:00,Short
2011-02-02 09:15:00,10523.15,10450.35,2011-02-02 13:15:00,Short
2011-02-02 13:15:00,10450.35,10700.45,2011-02-03 09:15:00,Short
2011-02-03 09:15:00,10700.45,10655.7,2011-02-03 13:15:00,Short
2011-02-03 13:15:00,10655.7,10522.75,2011-02-04 09:15:00,Short
2011-02-04 09:15:00,10522.75,10424.35,2011-02-04 13:15:00,Short
2011-02-04 13:15:00,10424.35,10435.4,2011-02-07 09:15:00,Short
2011-02-07 09:15:00,10435.4,10395.8,2011-02-07 13:15:00,Short
2011-02-07 13:15:00,10395.8,10231.05,2011-02-08 09:15:00,Short
2011-02-08 09:15:00,10231.05,10150.6,2011-02-08 13:15:00,Short
2011-02-08 13:15:00,10150.6,10217.1,2011-02-09 09:15:00,Short
2011-02-09 09:15:00,10217.1,10158.5,2011-02-09 13:15:00,Short
2011-02-09 13:15:00,10158.5,10090.05,2011-02-10 09:15:00,Short
2011-02-10 09:15:00,10090.05,10071.7,2011-02-10 13:15:00,Short
2011-02-10 13:15:00,10071.7,10164.2,2011-02-11 09:15:00,Short
2011-02-11 09:15:00,10164.2,10456.95,2011-02-11 13:15:00,Short
2011-02-14 09:15:00,10736.35,10806.75,2011-02-14 13:15:00,Buy
2011-02-14 13:15:00,10806.75,10973.5,2011-02-15 09:15:00,Buy
2011-02-15 09:15:00,10973.5,10958.4,2011-02-15 13:15:00,Buy
2011-02-15 13:15:00,10958.4,10982.5,2011-02-16 09:15:00,Buy
2011-02-16 09:15:00,10982.5,10988.85,2011-02-16 13:15:00,Buy
2011-02-16 13:15:00,10988.85,11098.35,2011-02-17 09:15:00,Buy
2011-02-17 09:15:00,11098.35,11134.9,2011-02-17 13:15:00,Buy
2011-02-17 13:15:00,11134.9,11072.4,2011-02-18 09:15:00,Buy
2011-02-18 09:15:00,11072.4,10970.0,2011-02-18 13:15:00,Buy
2011-02-18 13:15:00,10970.0,10841.15,2011-02-21 09:15:00,Buy
2011-02-21 09:15:00,10841.15,11055.85,2011-02-21 13:15:00,Buy
2011-02-21 13:15:00,11055.85,10855.2,2011-02-22 09:15:00,Buy
2011-02-22 09:15:00,10855.2,10835.1,2011-02-22 13:15:00,Buy
2011-02-22 13:15:00,10835.1,10773.3,2011-02-23 09:15:00,Buy
2011-02-23 09:15:00,10773.3,10645.75,2011-02-23 13:15:00,Buy
2011-02-23 13:15:00,10645.75,10431.2,2011-02-24 09:15:00,Buy
2011-02-23 13:15:00,10645.75,10431.2,2011-02-24 09:15:00,Short
2011-02-24 09:15:00,10431.2,10246.85,2011-02-24 13:15:00,Short
2011-02-24 13:15:00,10246.85,10454.2,2011-02-25 09:15:00,Short
2011-02-25 09:15:00,10454.2,10499.75,2011-02-25 13:15:00,Short
2011-02-25 13:15:00,10499.75,10592.3,2011-02-28 09:15:00,Short
2011-02-28 09:15:00,10592.3,10437.0,2011-02-28 13:15:00,Short
2011-02-28 13:15:00,10437.0,10793.45,2011-03-01 09:15:00,Short
2011-03-01 13:15:00,10901.1,10974.4,2011-03-03 09:15:00,Buy
2011-03-03 09:15:00,10974.4,10908.85,2011-03-03 13:15:00,Buy
2011-03-03 13:15:00,10908.85,11003.65,2011-03-04 09:15:00,Buy
2011-03-04 09:15:00,11003.65,10981.4,2011-03-04 13:15:00,Buy
2011-03-04 13:15:00,10981.4,10672.4,2011-03-07 09:15:00,Buy
2011-03-07 09:15:00,10672.4,10792.65,2011-03-07 13:15:00,Buy
2011-03-07 13:15:00,10792.65,10895.9,2011-03-08 09:15:00,Buy
2011-03-08 09:15:00,10895.9,10940.2,2011-03-08 13:15:00,Buy
2011-03-08 13:15:00,10940.2,11021.55,2011-03-09 09:15:00,Buy
2011-03-09 09:15:00,11021.55,10941.95,2011-03-09 13:15:00,Buy
2011-03-09 13:15:00,10941.95,10819.15,2011-03-10 09:15:00,Buy
2011-03-10 09:15:00,10819.15,10855.65,2011-03-10 13:15:00,Buy
2011-03-10 13:15:00,10855.65,10733.25,2011-03-11 09:15:00,Buy
2011-03-11 09:15:00,10733.25,10734.25,2011-03-11 13:15:00,Buy
2011-03-11 13:15:00,10734.25,10817.55,2011-03-14 09:15:00,Buy
2011-03-14 09:15:00,10817.55,10915.45,2011-03-14 13:15:00,Buy
2011-03-14 13:15:00,10915.45,10743.4,2011-03-15 09:15:00,Buy
2011-03-15 09:15:00,10743.4,10750.7,2011-03-15 13:15:00,Buy
2011-03-15 13:15:00,10750.7,10964.85,2011-03-16 09:15:00,Buy
2011-03-16 09:15:00,10964.85,10967.05,2011-03-16 13:15:00,Buy
2011-03-16 13:15:00,10967.05,10888.7,2011-03-17 09:15:00,Buy
2011-03-17 09:15:00,10888.7,10853.1,2011-03-17 13:15:00,Buy
2011-03-17 13:15:00,10853.1,10740.7,2011-03-18 09:15:00,Buy
2011-03-18 09:15:00,10740.7,10707.65,2011-03-18 13:15:00,Buy
2011-03-18 13:15:00,10707.65,10752.35,2011-03-21 09:15:00,Buy
2011-03-21 09:15:00,10752.35,10740.6,2011-03-21 13:15:00,Buy
2011-03-21 13:15:00,10740.6,10806.95,2011-03-22 09:15:00,Buy
2011-03-22 09:15:00,10806.95,10767.8,2011-03-22 13:15:00,Buy
2011-03-22 13:15:00,10767.8,10928.75,2011-03-23 09:15:00,Buy
2011-03-23 09:15:00,10928.75,10959.0,2011-03-23 13:15:00,Buy
2011-03-23 13:15:00,10959.0,11062.35,2011-03-24 09:15:00,Buy
2011-03-24 09:15:00,11062.35,11070.25,2011-03-24 13:15:00,Buy
2011-03-24 13:15:00,11070.25,11204.8,2011-03-25 09:15:00,Buy
2011-03-25 09:15:00,11204.8,11354.25,2011-03-25 13:15:00,Buy
2011-03-25 13:15:00,11354.25,11530.0,2011-03-28 09:15:00,Buy
2011-03-28 09:15:00,11530.0,11512.45,2011-03-28 13:15:00,Buy
2011-03-28 13:15:00,11512.45,11628.6,2011-03-29 09:15:00,Buy
2011-03-29 09:15:00,11628.6,11578.4,2011-03-29 13:15:00,Buy
2011-03-29 13:15:00,11578.4,11742.0,2011-03-30 09:15:00,Buy
2011-03-30 09:15:00,11742.0,11795.3,2011-03-30 13:15:00,Buy
2011-03-30 13:15:00,11795.3,11725.35,2011-03-31 09:15:00,Buy
2011-03-31 09:15:00,11725.35,11710.05,2011-03-31 13:15:00,Buy
2011-03-31 13:15:00,11710.05,11558.5,2011-04-01 09:15:00,Buy
2011-04-01 09:15:00,11558.5,11603.95,2011-04-01 13:15:00,Buy
2011-04-01 13:15:00,11603.95,11781.35,2011-04-04 09:15:00,Buy
2011-04-04 09:15:00,11781.35,11798.8,2011-04-04 13:15:00,Buy
