,date,open,High,low,close,signal
0,2011-01-03 09:15:00,11882.1,11909.2,11840.15,11892.5,
1,2011-01-03 13:15:00,11889.05,11912.15,11826.95,11829.5,Short
2,2011-01-03 17:15:00,,,,,Short
3,2011-01-03 21:15:00,,,,,Short
4,2011-01-04 01:15:00,,,,,Short
5,2011-01-04 05:15:00,,,,,Short
6,2011-01-04 09:15:00,11868.4,11872.8,11605.85,11640.1,Short
7,2011-01-04 13:15:00,11640.1,11683.1,11545.55,11559.6,Short
8,2011-01-04 17:15:00,,,,,Short
9,2011-01-04 21:15:00,,,,,Short
10,2011-01-05 01:15:00,,,,,Short
11,2011-01-05 05:15:00,,,,,Short
12,2011-01-05 09:15:00,11545.75,11545.75,11321.95,11354.75,Short
13,2011-01-05 13:15:00,11356.35,11363.25,11265.55,11306.05,Short
14,2011-01-05 17:15:00,,,,,Short
15,2011-01-05 21:15:00,,,,,Short
16,2011-01-06 01:15:00,,,,,Short
17,2011-01-06 05:15:00,,,,,Short
18,2011-01-06 09:15:00,11350.7,11377.1,11199.25,11226.65,Short
19,2011-01-06 13:15:00,11226.65,11228.85,11164.75,11168.75,Short
20,2011-01-06 17:15:00,,,,,Short
21,2011-01-06 21:15:00,,,,,Short
22,2011-01-07 01:15:00,,,,,Short
23,2011-01-07 05:15:00,,,,,Short
24,2011-01-07 09:15:00,11146.45,11258.5,11046.35,11196.6,Short
25,2011-01-07 13:15:00,11196.6,11200.9,11007.9,11017.45,Short
26,2011-01-07 17:15:00,,,,,Short
27,2011-01-07 21:15:00,,,,,Short
28,2011-01-08 01:15:00,,,,,Short
29,2011-01-08 05:15:00,,,,,Short
30,2011-01-08 09:15:00,,,,,Short
31,2011-01-08 13:15:00,,,,,Short
32,2011-01-08 17:15:00,,,,,Short
33,2011-01-08 21:15:00,,,,,Short
34,2011-01-09 01:15:00,,,,,Short
35,2011-01-09 05:15:00,,,,,Short
36,2011-01-09 09:15:00,,,,,Short
37,2011-01-09 13:15:00,,,,,Short
38,2011-01-09 17:15:00,,,,,Short
39,2011-01-09 21:15:00,,,,,Short
40,2011-01-10 01:15:00,,,,,Short
41,2011-01-10 05:15:00,,,,,Short
42,2011-01-10 09:15:00,11024.5,11072.7,10822.35,10872.9,Short
43,2011-01-10 13:15:00,10872.9,10876.4,10671.6,10686.0,Short
44,2011-01-10 17:15:00,,,,,Short
45,2011-01-10 21:15:00,,,,,Short
46,2011-01-11 01:15:00,,,,,Short
47,2011-01-11 05:15:00,,,,,Short
48,2011-01-11 09:15:00,10734.2,10938.8,10620.8,10906.35,Short
49,2011-01-11 13:15:00,10907.6,10951.2,10700.3,10914.0,Short
50,2011-01-11 17:15:00,,,,,Short
51,2011-01-11 21:15:00,,,,,Short
52,2011-01-12 01:15:00,,,,,Short
53,2011-01-12 05:15:00,,,,,Short
54,2011-01-12 09:15:00,10906.4,10990.15,10728.45,10890.0,Short
55,2011-01-12 13:15:00,10890.0,11161.15,10879.0,11129.25,Short
56,2011-01-12 17:15:00,,,,,Short
57,2011-01-12 21:15:00,,,,,Short
58,2011-01-13 01:15:00,,,,,Short
59,2011-01-13 05:15:00,,,,,Short
60,2011-01-13 09:15:00,11125.95,11127.95,10777.65,10809.4,Short
61,2011-01-13 13:15:00,10812.8,10825.9,10676.5,10740.65,Short
62,2011-01-13 17:15:00,,,,,Short
63,2011-01-13 21:15:00,,,,,Short
64,2011-01-14 01:15:00,,,,,Short
65,2011-01-14 05:15:00,,,,,Short
66,2011-01-14 09:15:00,10746.8,10896.6,10584.35,10891.05,Short
67,2011-01-14 13:15:00,10891.05,10907.3,10387.9,10443.75,Short
68,2011-01-14 17:15:00,,,,,Short
69,2011-01-14 21:15:00,,,,,Short
70,2011-01-15 01:15:00,,,,,Short
71,2011-01-15 05:15:00,,,,,Short
72,2011-01-15 09:15:00,,,,,Short
73,2011-01-15 13:15:00,,,,,Short
74,2011-01-15 17:15:00,,,,,Short
75,2011-01-15 21:15:00,,,,,Short
76,2011-01-16 01:15:00,,,,,Short
77,2011-01-16 05:15:00,,,,,Short
78,2011-01-16 09:15:00,,,,,Short
79,2011-01-16 13:15:00,,,,,Short
80,2011-01-16 17:15:00,,,,,Short
81,2011-01-16 21:15:00,,,,,Short
82,2011-01-17 01:15:00,,,,,Short
83,2011-01-17 05:15:00,,,,,Short
84,2011-01-17 09:15:00,10459.6,10571.8,10373.8,10546.7,Short
85,2011-01-17 13:15:00,10545.9,10550.5,10411.5,10489.75,Short
86,2011-01-17 17:15:00,,,,,Short
87,2011-01-17 21:15:00,,,,,Short
88,2011-01-18 01:15:00,,,,,Short
89,2011-01-18 05:15:00,,,,,Short
